segment,pdf_name
unsegmented,92_PINELABS_30012026203158_SFNPL_Intimation_PLL_Acquisition_Final_V1.png
unsegmented,96_GAEL_30012026202734_Communication.png
unsegmented,97_RPOWER_30012026202559_LettertoSEReportofMonitoringAgency.png
unsegmented,01_VSTTILLERS_30012026161214_SE.png
unsegmented,04_AHFL2021_30012026161048_FinalSEIntimation_SD.png
unsegmented,01_VSTTILLERS_30012026161214_SE.png
unsegmented,04_AHFL2021_30012026161048_FinalSEIntimation_SD.png
unsegmented,106_MD11015_30012026151217_SE_Intimation_30012026.png
unsegmented,112_NCL1993_30012026150831_Intimation_under_Regulation_30_signed.png
unsegmented,119_INFOBEAN_30012026150404_Reg_74_5_.png
unsegmented,126_SHIL_30012026150239_SEintimation_RoorkeePlantSIGNED.png
unsegmented,142_ULTRACEMCO1_30012026145328_SE30012026.png
unsegmented,143_ULTRACEMCO1_30012026145212_SE30012026.png
unsegmented,164_SYSTMTXC_30012026143456_SCSLIntimationunderReg_3030012026.png
unsegmented,177_9900590024_29012026212804_PITIntimation_8_2__.png
unsegmented,178_POWERMECH_30012026142426_Covering_letter_M.png
unsegmented,182_SYRMASGS_30012026142209_MonitoringagencyreportQIPDecember312025Signed.png
unsegmented,184_SIS_30012026141935_Intimation.png
unsegmented,198_KSB_30012026140753_KSB_Intimation_Large_Corporate_signed.png
unsegmented,202_NILASPACES_30012026140320_542231Update.png
unsegmented,206_MOTHERSON_30012026140037_SE_Disclosure_Update_of_Acquisition.png
unsegmented,232_SCHAND_30012026134035_DisclosureAcqisitionCPD30012026.png
unsegmented,238_ASAHIINDIA_30012026133744_Monitoring_Agency_Report_sd.png
unsegmented,23_PRAENG_30012026160045_PESL-74_5_Q3.png
unsegmented,24_IBREL_30012026155752_EDL_SE_Intimation_Allotment_of_NCD_3001.png
unsegmented,250_FCEL1_30012026132528_Regulation-74_5_-CERT_Future_Consumer_Limited_31Dec25_16_29_22.png
unsegmented,251_SOLARINDS_30012026132456_Announcementorder830crsd.png
unsegmented,257_FCEL1_30012026132325_Regulation-74_5_-CERT-Future_Consumer_Limited_30Sep25_14_15_6.png
unsegmented,27_skipper_30012026155745_updatesnse.png
unsegmented,287_Cadilahc_30012026130020_InvestorCall30012026.png
unsegmented,288_NRBBEARING1_30012026125840_Earnings_Call_intimation_Q3_2025-26_for_upload.png
unsegmented,292_RTNPOWER_30012026125846_RPLEARNINGQ3.png
unsegmented,296_TEGA_30012026125528_Intimation_Reg_30_SEBI_LODR_sd.png
unsegmented,297_DEEPINDS_30012026125501_Intimationcall.png
unsegmented,30_NEULANDLAB_30012026155723_SignedSE_Intimation.png
unsegmented,312_NATCOPHARM_30012026124346_PressReleasee_30012026.png
unsegmented,355_BLUESTARCO_30012026113347_InvestorsUpdatetoUploadtoSE30012026.png
unsegmented,363_ASIANTILES_30012026112750_semarq3fy26signed.png
unsegmented,373_FOODSIN_30012026111927_CoveringLetterwithCertificate29012026DSC.png
unsegmented,377_BILLIONBRAINS_30012026111340_CINChangeSD.png
unsegmented,37_SURAJ_30012026155532_MA.png
unsegmented,382_MAMATA_30012026110338_MML_Patent_Intimation_30012026.png
unsegmented,394_bdesai_30012026104940_Intimation_for_Filing_RHP_of_Brandman.png
unsegmented,404_EASEMYTRIP_30012026101255_PR.png
unsegmented,40_CRIZAC0301_30012026155226_Intimation_regarding_Communication_reg_TDS_On_Div_Payout.png
unsegmented,428_DIGITIDE_29012026231125_investorPPT.png
unsegmented,430_ACME122002_29012026230303_Intimation-29012026.png
unsegmented,449_LXCHEM_29012026221643_Covering_letterMonitoringAgencyReportIPO.png
unsegmented,452_MAXHEALTH_29012026221034_SE_Intimation_VL_MHC_Nigeria.png
unsegmented,46_KAJARIACER_30012026154547_Investor_Release.png
unsegmented,470_PRESTIGE_29012026214615_Q3MonitoringAgencyReport.png
unsegmented,479_FILATEX_29012026213104_TEXFIL_CORPORATE_GUARANTEE.png
unsegmented,484_COFORGE_29012026211956_IntimationReg30.png
unsegmented,486_RAVIDAMLE_29012026211812_KCL_withdrawlofappltnofreclassification.png
unsegmented,52_SJVN_30012026154435_akg.png
unsegmented,56_BANARBEADS_30012026154115_Capital.png
unsegmented,69_LIC_BOARD_30012026153050_Cessation_SMP.png
unsegmented,70_VEDL_30012026153106_SEIntimationReplytoNewsClarificationJan2026signed.png
unsegmented,82_kkurmi_30012026151520_NSE_Clarification_letter.png
unsegmented,91_INSECTICID_30012026152017_STXEP31122025.png
unsegmented,95_ASIANTILES_30012026151840_Statement_of_Deviationsigned30012026.png
unsegmented,98_LIC_BOARD_30012026151549_Earning_Call_Invite.png
