pdf_file_name,this_quarter_total_income,previous_quarter_total_income,same_quarter_last_year_total_income,this_quarter_other_income,previous_quarter_other_income,same_quarter_last_year_other_income,this_quarter_expenses,previous_quarter_expenses,same_quarter_last_year_expenses,this_quarter_comprehensive_income,previous_quarter_comprehensive_income,same_quarter_last_year_comprehensive_income
313_TATAINVEST_30012026175510_TICL_Quick_results_30012026.pdf,60.8,154.34,3.8,2.88,0.36,0.09,11.26,11.4,9.48,1207.98,-2942.1,-2800.64
314_lakshmits_30012026175826_OUTCOME.pdf,8008.68,7613.42,6836.6,110.47,122.04,103.62,6273.54,6048.77,5372.02,nan,nan,nan
318_RAHULBS35_30012026175628_IntimationForOutcomeOfBM.pdf,59570.43,57434.29,50732.65,351.01,643.23,621.27,51351.11,49251.72,43436.71,6123.29,5976.09,5410.74
318_RAHULBS35_30012026175628_IntimationForOutcomeOfBM.pdf,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16
326_RAHULBS35_30012026175155_IntimationForOutcomeOfBM.pdf,59570.43,57434.29,50732.65,351.01,643.23,621.27,51351.11,49251.72,43436.71,6123.29,5976.09,5410.74
326_RAHULBS35_30012026175155_IntimationForOutcomeOfBM.pdf,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16
331_ASTEC_30012026174919_BSENSEBMOUTCOME30012026.pdf,7483.62,7483.62,7483.62,111.56,111.56,111.56,9924.36,9924.36,9924.36,-68.71,-68.71,-68.71
336_ASTEC_30012026174532_BSENSEBMOUTCOME30012026.pdf,7483.62,7483.62,7483.62,111.56,111.56,111.56,9924.36,9924.36,9924.36,-68.71,-68.71,-68.71
342_MEESHO_30012026174011_MLOutcomeofBM30Jan2026.pdf,35964.14,32549.12,28486.02,738.16,1812.4,1699.61,40712.97,35404.39,28227.81,-4924.36,-4091.81,-380.75
345_RAHULBS35_30012026174021_IntimationForOutcomeOfBM.pdf,59570.43,57434.29,50732.65,351.01,643.23,621.27,51351.11,49251.72,43436.71,6123.29,5976.09,5410.74
345_RAHULBS35_30012026174021_IntimationForOutcomeOfBM.pdf,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16
351_MAITHANALL_30012026173237_Q3UFR.pdf,565.8,337.36,628.15,75.52,-153.46,97.06,444.28,478.59,514.42,92.79,-118.97,90.35
352_MEESHO_30012026173517_MLOutcomeofBM30Jan2026.pdf,35964.14,32549.12,28486.02,738.16,1812.4,1699.61,40712.97,35404.39,28227.81,-4924.36,-4091.81,-380.75
359_RAHULBS35_30012026172842_IntimationForOutcomeOfBM.pdf,59570.43,57434.29,50732.65,351.01,643.23,621.27,51351.11,49251.72,43436.71,6123.29,5976.09,5410.74
359_RAHULBS35_30012026172842_IntimationForOutcomeOfBM.pdf,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16,41518.24,42116.25,39914.16
361_RAVIDAMLE_30012026172420_KCLResults31122025.pdf,17812.85,17457.31,16070.54,50.59,66.91,45.12,17220.76,16399.82,16635.42,87.38,-14.43,-252.03
371_ORBTEXP_30012026172251_OutcomeofBM30012026merged_Signed.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
371_ORBTEXP_30012026172251_OutcomeofBM30012026merged_Signed.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
372_ORBTEXP_30012026172236_OutcomeofBM30012026merged_Signed.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
372_ORBTEXP_30012026172236_OutcomeofBM30012026merged_Signed.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
382_JINDALSTEL_30012026171431_STX300126.pdf,13036.16,11707.82,11777.05,9.53,21.94,26.38,12638.01,10725.55,10577.71,128.02,505.77,737.73
384_lakshmits_30012026171458_OUTCOME_BoardMeeting_30Jan2026.pdf,8008.68,7613.42,6836.6,110.47,122.04,103.62,6273.54,6048.77,5372.02,1327.67,1206.77,1189.32
389_IFBAGRO_30012026170834_Outcome_of_BM.pdf,155783.0,155783.0,155783.0,1934.0,1934.0,1934.0,152178.0,152178.0,152178.0,5657.0,5657.0,5657.0
393_PANKAJCHAWLA_30012026171153_OutcomeofBoardMeeting.pdf,223451.0,166938.0,193981.0,4458.0,3717.0,4673.0,184396.0,134993.0,156279.0,22371.0,39110.0,20737.0
393_PANKAJCHAWLA_30012026171153_OutcomeofBoardMeeting.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
393_PANKAJCHAWLA_30012026171153_OutcomeofBoardMeeting.pdf,218788.0,189308.0,189431.0,22.67,20.32,21.31,22.67,20.32,21.31,22.67,20.32,21.31
396_lakshmits_30012026171022_OUTCOME_BoardMeeting_30Jan2026.pdf,8008.68,7613.42,6836.6,110.47,122.04,103.62,6273.54,6048.77,5372.02,1327.67,1206.77,1189.32
398_JINDALSTEL_30012026171011_STX300126.pdf,13036.16,11707.82,11777.05,9.53,21.94,26.38,12638.01,10725.55,10577.71,128.02,505.77,737.73
401_ORBTEXP_30012026170833_OutcomeofBM30012026merged_Signed.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
401_ORBTEXP_30012026170833_OutcomeofBM30012026merged_Signed.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
402_ARISINFRA2024_30012026170910_Outcome.pdf,2724.83,2424.46,1855.8,16.48,12.56,37.59,2477.44,2239.85,1808.88,182.64,152.21,21.37
404_PANKAJCHAWLA_30012026170636_OutcomeofBoardMeeting.pdf,223451.0,166938.0,193981.0,4458.0,3717.0,4673.0,184396.0,134993.0,156279.0,22371.0,39110.0,20737.0
404_PANKAJCHAWLA_30012026170636_OutcomeofBoardMeeting.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
404_PANKAJCHAWLA_30012026170636_OutcomeofBoardMeeting.pdf,218788.0,189308.0,189431.0,22.67,20.32,21.31,22.67,20.32,21.31,22.67,20.32,21.31
412_ORBTEXP_30012026170406_OutcomeofBM30012026merged_Signed.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
412_ORBTEXP_30012026170406_OutcomeofBM30012026merged_Signed.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
414_lakshmits_30012026170057_OUTCOME_BoardMeeting_30Jan2026.pdf,8008.68,7613.42,6836.6,110.47,122.04,103.62,6273.54,6048.77,5372.02,1327.67,1206.77,1189.32
426_JUPITER2023_30012026165313_Outcome_BM_Q3.pdf,3744.96,4049.02,3400.16,91.29,112.73,72.09,3111.9,3306.8,2732.82,424.98,574.77,522.16
430_FISCHER_30012026165149_Finaltoupload.pdf,217.17,886.15,86.58,85.67,143.46,86.58,367.34,748.33,24.83,6485.15,6485.15,5350.0
431_KEC_30012026165144_ResultsDec25.pdf,6011.58,6096.19,5350.29,10.23,4.63,0.91,5792.87,5883.21,5190.46,143.42,239.68,65.54
431_KEC_30012026165144_ResultsDec25.pdf,-2,38.98,105.72,-2,38.98,105.72,-2,38.98,105.72,-2,38.98,105.72
431_KEC_30012026165144_ResultsDec25.pdf,1.46,3.97,2.74,1.46,3.97,2.74,1.46,3.97,2.74,1.46,3.97,2.74
435_ARISINFRA2024_30012026164810_Outcome.pdf,2724.83,2424.46,1855.8,16.48,12.56,37.59,2477.44,2239.85,1808.88,182.64,152.21,21.37
437_FISCHER_30012026164604_Finaltoupload.pdf,217.17,886.15,86.58,85.67,143.46,86.58,367.34,748.33,24.83,6485.15,6485.15,5350.0
444_AHFL2021_30012026164650_Full_Set_Dec25.pdf,94377.0,89926.0,79764.0,106.0,213.0,3.0,56808.0,55652.0,48996.0,28212.0,26533.0,23934.0
453_ARISINFRA2024_30012026164105_Outcome.pdf,2724.83,2424.46,1855.8,16.48,12.56,37.59,2477.44,2239.85,1808.88,182.64,152.21,21.37
